date,userName,isEdited,title,review,rating,developerResponse
2020-10-28 03:15:26,blooolp,False,Cool but empty,"I assume its just cause its new, it has great ideas for cards I just wish you could get more than 3 slots and also wish you could customize them more. The defaults are pretty cringe. Like, the “area 51 raid” card is a good idea for showing off your favorite stuff, just the unfortunate thing is that it’s all full of dead memes and even the raid itself is super dead. You’d be better off not sticking to putting current memes into it cause millennials and gen z don’t really take to it as much and it’s because they’re slow to implement. Just let the users insert whatever they want there and let them shake it up a little. That would be way better

Also, I haven’t gotten any matches yet despite I guess being a girl which this app also seems to lack some of. But I won’t fault it to the app it’s still clearly gaining user base you guys will get more users if you give more options, or maybe even implement mini games that you can play when you match to someone",4,
2021-02-25 03:54:12,Antmo01,False,Some of my thoughts,"First off, I just wanna say that this is app is creative with the card system and the whole choose 9 favorite games to display. I actually enjoyed filling all of those out and I looked forward to seeing other people posting their favorite stuff. However, from what I noticed on the reviews on this app (and with personal experience) is that I and some other people haven’t found 1 match, despite having it for some time. I had this app for over 2 weeks now, I still couldn’t find a match. I’m not sure if it’s just a me thing, but it doesn’t feel like it because I tried my best to look attractive to some people and I’ve seen other reviews out there having the same issue. I don’t think my account is even visible on the app because of this. I also dislike the 30 swipes a day deal, even if I’m not attracted to the person and swipe left, it counts as one. Extremely restricting for the user. I understand it’s a small base and it’s at it’s early stages, but c’mon not one match? Even after a couple of weeks? I just feel like this app isn’t good enough to even interact with people, at least not yet, since it doesn’t match you with others. Ironic, since it’s a dating app. This app has potential though.",2,
2020-11-05 07:41:17,jj_2077,False,"Cool concept, but poor execution and empty app","Conceptually, this is a very interesting way to approach dating apps. I like the customizable cards and the ability to link up to nine of your favorite games to your profile. The low number of photos you can submit of yourself (up to four) may be a turn off for some, but I personally prefer it. HOWEVER, this app is held back by two major factors: a low number of accounts and the very limited amount of swipes per day. I have only logged into the app a few times and have already gone through every profile within a reasonable radius. You can expand this radius to +500 miles, but unless you are up for a long distance relationship, most people are going to be looking within 50 miles and even that’s pushing it. The fact I went through every profile is even more surprising when you realize you are limited to 30 swipes a day. Not likes, swipes. As in you are allowed to look at up to 30 profiles a day before you are tapped out. I only recently managed to get one match and as of right now she has not responded. There is potential here, but as of right now it’s mediocre at best.",3,
2020-10-05 19:11:24,SoundsLikeALottaHOOPLAH,False,"A good app, but not very useful","While the idea of the app is excellent in concept (I had fun just filling out my profile and viewing other people’s for a few weeks), I’ve never had a single match. Just about every single day for at least a month, I’ve exhausted my available likes and sent my one free message to a girl I thought was cute and I’ve gotten nothing back. Not even a like by *anyone*. I’m not a male model, granted, but I put effort into my profile and my messages. To not even get a single like implies to me that this app has an intense gender imbalance and the girls that do try it out are swamped with likes and messages. Distance doesn’t really matter, either: for the first few weeks I was content to set it at the maximum distance, but got nothing. When I lowered to my immediate area and swiped through my potential matches, I also got nothing. 

I feel like if I even had a single like or match to show me that I *exist* on this app, I’d be more inclined to use it. As it stands now, though, I consistently forget that I even own it because nothing ever comes of it.",3,
2020-06-29 15:05:11,Xandaroth,False,Finally a legit app for gamers!?,"After being burned out on all the dating apps with shady practices owned by Matchgroup, this app is seriously refreshing. You can connect with people based on gaming lifestyles and the Card system is a fantastic way to express yourself even if you’re not a big fan of filling out profiles. 

The algorithm is extremely honest and transparent, plus it doesn’t try to decide what you want for you. It will tell you if there are people in your area and it won’t get funky with showing you matches outside of what you search for. 

I’m just an average guy who likes to strike up normal, casual conversation as an opener and there’s this membrane I often can’t punch through on usual “industry” dating apps. On Kippo, I’m actually getting conversations from matches and that’s after only having signed up for a few days!

Not to mention, their premium service was only $10/month, or less if I were to get the multi-month subscription?? Goodbye OkCupid and your ridiculous $50/Month A-List. You can play an MMO for $15/month, so Kippo’s pricing actually respects my time and my money. 

Keep up the great work!! I’m going to stay subscribed to premium and see how Kippo expands and evolves over time. I definitely want more card variety, and it would be great if I could list more games as favorites or as a “here’s what I’ll play with you” list. Other than that, expanding the user base is the only urgent thing I’d like to see.",5,
2020-03-12 09:00:55,Xenuh,False,Cool App!,"This app is so unique, i’ve never seen anything like it! I love how it’s mainly based around gaming and personality, unlike the majority of dating apps these days. If there’s one thing I could change, it would be a bigger variety of preference options and a longer “swiping” amount. i personally think it’s unfair that i have to waste my swipes on people who i’m uninterested in. for example, i’m an xbox player and i want to connect with only xbox and psn players but there’s no options for that so i get matched with a pc player. swiping left technically counts as a swipe. i’ve gone 2 days swiping left and have ran out of swipes. if you’re going to limit the amount, i think it should be based on the amount of matches you get and not the amount of people you go through. overall i love this app and i would recommend it to EVERY gamer looking for friends/love!",4,"{'id': 14873083, 'body': 'Hello!\n\nThank you so much for taking the time to leave us a review! We are so glad that you are enjoying using Kippo! We are working on adding advanced filters so you can find people based off things like console and game title. This is all great feedback and we would love to hear more. Please feel free to send us feedback or ideas anytime at sup@kippoapp.com. Please let us know if there is anything else that we can do to make Kippo a 5 star experience for you!\n\nBest,\nKippo Team', 'modified': '2020-04-23T21:25:56Z'}"
2020-08-31 13:22:07,Joey Tagliatelle,False,Fake reviews + Horrible app,"First off, please go take a look at all the 5 star reviews. They all have similar generic titles and comment how “wonderful” of an dating app this is (and are also all ironically mass posted on the same block of days). Here’s why I believe these reviews are fake: 

The concept of the app is interesting, but the execution is lackluster at best. You are limited to 30 swipes per day, which includes likes and dislikes. That is asinine - no other dating app is this restrictive. Furthermore, actually matching with people is seemly impossible. I have been on this app for over 1 month now and have not received a single match. Each day I swiped on 30 people meaning after sifting through 1000 people I couldn’t find a single match. I even started swiping on people that I was not even remotely attracted to and still nothing. There is not a single dating app out there that I have had this experience with.

Please do not waste your time with this app. If you are eager to find someone to date that plays video games, your are exponentially more likely to meet them in whatever game you like than this joke of a platform.",1,
2020-06-24 08:41:01,Hikarigami,False,"Good, could still use work","So while I really like the niche aspect of this app, it’s frustrating that I’ve encountered the same people over and over again. It’s one thing if someone passed on me in the past and I show up again to them to give them another chance, but if I like someone once, they shouldn’t show up in my queue again.

This wouldn’t be quite so bad, if not for the fact that you’re limited on how many profiles you can view a day, meaning you often get clogged down with repeat profiles.

I get it if I live in an area with not that many users, but I’m in the SF bay, which is THE nerd hot spot of America. I should be fine. I’d rather have no one available than see the same people over and over again. L",4,
2021-02-15 19:19:03,Kfkfkdjfjf,False,Nice design but not full of people,"Let me just say that I love how this app looks, I also thinks it’s pretty simple to use. 
I think the idea of the cards is super creative, but I wish there were more kinds of cards and that you could add more than 3 to your profile. 
I also feel like this app is kinda empty? I mean I’ve used this for 3 days and I’m lucky enough to get the 30 profiles it promises you and they all seem different so I don’t see repeating ones. The limit kinda makes it feel empty tho? 
I don’t know how many females there are on this app though. I’m a female myself and maybe there’s more males so that’s why I have the luxury of seeing more profiles? 
I will say that I haven’t seen tons of makes that are attractive to me though. It’s not the apps fault at all, just something to think about if you’re a female wanting to try this app. 
I could see this more of a social platform to meet other gamers instead of a dating website. The aesthetic doesn’t really fit a dating app, but it does fit an app that will help connect you to more gamers. Think like geek to geek except this app doesn’t feel like it’s trying to scam you out of money. 
In short, it looks cool, easy to use, just not a lot of people? Would love if you could find friends on this app in addition to it being a dating app.",3,
2019-11-15 03:59:48,St3pharu,True,Great App,"[EDIT at bottom]
I love the style and design of this app for sure. Definitely more unique than what I’ve seen before in similar apps, but I only have one issue with it. It seems that the aspect ratio is off on my iPhone 7s, and it cuts off a little bit of information sometimes. For instance, when doing the personality card, I can’t choose the very bottom option of assertive or turbulent because it is cut off on the bottom. There are a few instances of that happening in the application, but I’m sure it’s just a small fix for the devs. Love what y’all are doing keep it up!

EDIT
-Thanks for the response! I did have it set to zoomed instead of standard, and it fixed it! I’ve adjusted my rating, and I appreciate the help!",5,"{'id': 11831767, 'body': 'Hello! Thanks so much for being part of our community and for helping us make the app better. Can you check real quick for us and see if your phone is using Zoomed mode for Display Zoom in your settings? Kippo is not compatible with zoomed mode and only works in Standard. It would also help us out a lot if you could send us a screenshot of the issue you are having to sup@kippoapp.com. Thanks again! People like you help Kippo become better everyday!\n\nBest,\nKippo Team', 'modified': '2019-11-14T00:25:38Z'}"
